id,content,rating,language
1,"The app crashes whenever I try to make a payment after the latest update.",1,en
2,"The application is very slow when opening the dashboard.",2,en
3,"I love the new dashboard. It looks clean and easy to use.",5,en
4,"OTP never arrives and I cannot login to my account.",1,en
5,"Please add dark mode to the application.",3,en
6,"Payment failed three times today.",1,en
7,"The app works well but sometimes freezes.",3,en
8,"I cannot upload my documents. The upload keeps failing.",2,en
9,"Very good application, but notifications are delayed.",3,en
10,"Please improve the search feature. It is difficult to find products.",2,en
