id,content,rating,language,cleaned_content
1,The app crashes whenever I try to make a payment after the latest update.,1,en,The app crashes whenever I try to make a payment after the latest update.
2,The application is very slow when opening the dashboard.,2,en,The application is very slow when opening the dashboard.
3,I love the new dashboard. It looks clean and easy to use.,5,en,I love the new dashboard. It looks clean and easy to use.
4,OTP never arrives and I cannot login to my account.,1,en,OTP never arrives and I cannot login to my account.
5,Please add dark mode to the application.,3,en,Please add dark mode to the application.
6,Payment failed three times today.,1,en,Payment failed three times today.
7,The app works well but sometimes freezes.,3,en,The app works well but sometimes freezes.
8,I cannot upload my documents. The upload keeps failing.,2,en,I cannot upload my documents. The upload keeps failing.
9,"Very good application, but notifications are delayed.",3,en,"Very good application, but notifications are delayed."
10,Please improve the search feature. It is difficult to find products.,2,en,Please improve the search feature. It is difficult to find products.
